month,country,domain,data_status,preference_update_impact,weekly_variation,weekly_peak,weekly_recent
201810,CN,security,observed,-0.9994457760836764,0.6938510218050179,0.6066999307001268,-0.6027618610167378
201810,CN,society_humanitarian,observed,1.3852151522503906,0.8634710338602505,0.791732498344109,0.5258444071220241
201810,US,diplomacy,observed,1.5901174499990323,1.0874648583354563,1.3534628788047887,1.2437489468921632
201810,US,economy,observed,2.5656170458834144,2.3623313497555545,2.2500780855264435,1.7260396183734077
201810,US,law,observed,-0.7472506620421884,0.39318597172255065,0.5635490492596059,-0.24798618240324477
201810,US,politics,observed,0.1739971548894319,1.0964653357603453,0.3591391490181111,0.3368379829074231
201810,US,security,observed,-0.8588468531615364,0.7951051202668931,0.5374590933134998,-0.09660500636674353
201810,US,society_humanitarian,observed,0.8718518631051887,1.0602634658525152,0.6648374590650968,0.2694114522776786
201811,CN,diplomacy,observed,1.6196744294411,0.8053838493356662,1.1795608752327873,1.119180555301958
201811,CN,economy,observed,2.4634420766896605,1.0236308259497153,1.8559684301164754,1.700678938412546
201811,CN,law,observed,-0.9330605052957048,1.8399410237899387,0.7907032236654399,-0.739339986418664
201811,CN,politics,observed,-0.1831756118074447,1.9946646606058929,0.4340555120628285,-0.3770121084368827
201811,CN,security,observed,-1.1310746478440497,0.7267304077045263,0.8301521888059912,-0.5570617428756995
201811,CN,society_humanitarian,observed,1.3770828850927215,1.0427348868651576,0.9513224154482061,0.6180030371650566
201811,US,diplomacy,observed,1.5295460755507162,0.8520686796329634,1.254357178588222,1.254357178588222
201811,US,economy,observed,2.7412784364993037,1.9933077284451552,2.1491432559823687,2.1491432559823687
201811,US,law,observed,-0.7961209770795212,0.4265416092576,0.6230985411681345,-0.6230985411681345
201811,US,politics,observed,0.3120174900445334,1.174038121038158,0.40080600277748196,0.011808873687286187
201811,US,security,observed,-0.668294948964964,0.8736879487691347,0.6498868469001465,-0.6498868469001465
201811,US,society_humanitarian,observed,1.0863878653186743,1.2593943709845288,0.5834584466695599,0.5834584466695599
201812,CN,diplomacy,observed,1.2922890533597464,0.501596903832202,0.9728580864695997,0.7912129683578424
201812,CN,economy,observed,1.7715613978594866,1.8494047070650472,1.660692094635664,1.3805715422835532
201812,CN,law,observed,-1.1205942739677381,0.706357431828106,0.8726747184194128,-0.6155983332336171
201812,CN,politics,observed,-0.41686967241702794,0.8328309816598287,0.587715279226774,-0.2580882123367457
201812,CN,security,observed,-0.9130012803517525,1.5259512584984467,0.9421202719799855,-0.2021631907812158
201812,CN,society_humanitarian,observed,1.0556527616729237,1.0365557395358729,0.7398675755258916,0.10342383735761744
201812,US,diplomacy,observed,1.5697502453069148,1.4256190713770125,1.3828418901827655,1.1294624390373056
201812,US,economy,observed,2.343981325767699,1.1043599034316203,1.865618871276274,1.865618871276274
201812,US,law,observed,-1.3056595081613622,1.5961418043656874,1.0630953095848572,-0.418477039146922
201812,US,politics,observed,-0.4285996992512269,1.7614347608565428,0.6224884575492834,0.19047315463741576
201812,US,security,observed,-1.1771291320614543,1.8589470360304112,1.0262608198433385,-0.08200282799916105
201812,US,society_humanitarian,observed,1.1836183706341692,0.698632015980718,0.6957220401632964,0.6957220401632964
201901,CN,diplomacy,observed,1.0597397494545668,1.3234550704239783,1.0244014066567917,0.42544502961882624
201901,CN,economy,observed,2.400074347195907,0.7287690509555229,1.7551733492091142,1.451925332604057
201901,CN,law,observed,-1.061190637713436,1.1738237342915787,0.8309018279361419,-0.6659978144591656
201901,CN,politics,observed,-0.427088334748146,0.5611621150685328,0.48818256719823433,-0.3995260570149815
201901,CN,security,observed,-1.0545393367329972,0.3644278844920822,0.7207594849969227,-0.5276410011455465
201901,CN,society_humanitarian,observed,1.0392951617373036,0.8271889616375121,0.6490571979875265,0.3451419404787623
201901,US,diplomacy,observed,1.2111386849726702,0.9658048032555234,0.9205315100659902,0.8947165087638979
201901,US,economy,observed,2.345353517923075,1.4324813630084778,1.9308609981741198,1.5609584209012846
201901,US,law,observed,-0.7376652029050985,1.350769011110555,0.5635414452321382,-0.3991375351858442
201901,US,politics,observed,-0.20084561858954583,1.6529774144950573,0.38088652126311345,-0.0766241254404084
201901,US,security,observed,-0.9252063156236957,0.35949885906924145,0.47663410155830044,-0.38577741804225646
201901,US,society_humanitarian,observed,1.206375590188681,0.7422452594657292,0.6780551415868747,0.3389079919479829
201902,CN,diplomacy,observed,1.4595743768167575,1.4137260886005498,1.0730224578937304,0.732318827186911
201902,CN,economy,observed,2.3525621674140784,3.3816850821362903,1.9770177435168004,1.2728495558254453
201902,CN,law,observed,-0.8387841882178448,0.6052522295322073,0.5719173591037483,-0.5385824886752894
201902,CN,politics,observed,0.1692176543029076,0.45037926636279635,0.22466893576621638,-0.0010413948303635496
201902,CN,security,observed,-0.5341171383695619,0.572279119656781,0.572279119656781,-0.572279119656781
201902,CN,society_humanitarian,observed,1.028167136305405,0.8997875605769554,0.6195840538576765,0.33938054713839755
201902,US,diplomacy,observed,1.4661552719442814,2.4725975550135186,1.3017935876179036,0.8822511792255868
201902,US,economy,observed,2.500690722011762,2.28776178896746,1.7980166733387941,1.648193469627254
201902,US,law,observed,-0.35566094602552684,0.9643606580580015,0.3059820217835136,-0.06168075194993385
201902,US,politics,observed,0.5442870995626974,1.4162157759145644,0.6208247225362572,0.2913697223938211
201902,US,security,observed,-0.16626123586713257,0.6346553710130439,0.16664815811432196,-0.07232881934740332
201902,US,society_humanitarian,observed,0.8882470701390849,0.9982194870749971,0.5221847511009982,0.3421490962848875
201903,CN,diplomacy,observed,1.3026835626519055,1.0004756975482083,1.0500396565859285,1.0500396565859285
201903,CN,economy,observed,2.192487340147961,1.6959128401400767,1.9020762094168198,1.5984907755702014
201903,CN,law,observed,-1.1649388168931307,1.6260789145904644,1.0390534804482323,-0.5742990800071576
201903,CN,politics,observed,-0.41835027312623996,1.9455455189332702,0.5446396174944235,-0.17356982069420446
201903,CN,security,observed,-1.2905864098206252,2.3021630324196645,1.11731010738897,-0.5282876311209215
201903,CN,society_humanitarian,observed,1.575345896701259,1.0945987964769768,0.9521005524483543,0.6173527252412604
201903,US,diplomacy,observed,0.9473510404900419,3.0057286913793346,1.132896112594374,0.4551930337243595
201903,US,economy,observed,1.7803112941754644,2.7585348821342626,1.5322124527337404,1.068153625002254
201903,US,law,observed,-1.038176757502326,1.1508762814648335,0.8336437746527018,-0.29419547661185647
201903,US,politics,observed,-0.5020427793205323,2.273142657763173,0.7832113904130491,-0.332204427963123
201903,US,security,observed,-1.0419514306453246,1.8318279260842971,0.962736330818757,-0.1570932527287075
201903,US,society_humanitarian,observed,0.540628172979083,2.0051332893196494,0.5815195852789331,0.35871732147397456
201904,CN,diplomacy,observed,1.391006363880851,0.716434667988031,1.0476971183121535,0.7135788278298999
201904,CN,economy,observed,2.152578811925346,0.7605017735293162,1.648495177145906,1.4413056812060696
201904,CN,law,observed,-1.0316439035842193,1.905539871113266,0.850053009769432,-0.6407880748970827
201904,CN,politics,observed,-0.11549920149629314,1.4276091531906059,0.25676090375009936,-0.0836200153242039
201904,CN,security,observed,-0.5612726812126286,2.5530721227594384,0.9072867473158672,-0.3401695540476536
201904,CN,society_humanitarian,observed,0.9603728984859603,1.121734045300018,0.6277281418048157,0.1941495557059433
201904,US,diplomacy,observed,1.4853118126863034,1.6282615620487335,1.2662859156038975,0.7582703420957655
201904,US,economy,observed,2.2182516531525995,1.827536715837252,1.7172179637310991,1.476720959747009
201904,US,law,observed,-0.6399589285278127,0.7580745421961685,0.5657010557455503,-0.5657010557455503
